sector,ticker,date,TTM EV/EBITDA,TTM P/E (GAAP),TTM P/S (GAAP),rev yoy%,EBIT yoy,EBITDA yoy,Net Income yoy
quatum,RGTI,2026-03-30,NA,NA,604.34,-18.0%,-88.0%,21.0%,-88.0%
,,,,,,,,,
TMT - SAAS,SAP,2026-03-30,14.83,23.83,4.72,13.0%,37.0%,16.0%,26.0%
TMT - SAAS,CRM,2026-03-30,14.26,23.70,4.11,12.0%,32.0%,9.0%,14.0%
TMT - SAAS,NOW,2026-03-30,40.70,62.88,8.27,21.0%,17.0%,49.0%,4.0%
TMT - SAAS,ADBE,2026-03-30,9.99,14.05,3.99,12.0%,11.0%,9.0%,4.0%
TMT - SAAS,INTU,2026-03-30,19.53,27.84,5.90,17.0%,52.0%,34.0%,47.0%
TMT - SAAS,ADP,2026-03-30,13.76,19.74,3.90,6.0%,10.0%,7.0%,10.0%
TMT - SAAS,WDAY,2026-03-30,22.27,49.83,3.47,15.0%,120.0%,88.0%,54.0%
TMT - SAAS,ADSK,2026-03-30,29.88,45.05,6.91,20.0%,20.0%,38.0%,4.0%
TMT - SAAS,TEAM,2026-03-30,NA,NA,3.07,23.0%,18.0%,-64.0%,12.0%
TMT - SAAS,HUBS,2026-03-30,63.24,273.34,4.01,20.0%,375.0%,225.0%,993.0%
TMT - SAAS,TWLO,2026-03-30,43.15,613.80,3.62,14.0%,179.0%,68.0%,268.0%
TMT - SAAS,ZM,2026-03-30,12.27,12.67,4.76,5.0%,92.0%,-14.0%,83.0%
TMT - SAAS,DOCU,2026-03-30,20.52,31.92,2.85,8.0%,50.0%,28.0%,8.0%
TMT - SAAS,BILL,2026-03-30,148.84,NA,2.37,14.0%,-106.0%,4966.0%,-108.0%
TMT - SAAS,GDDY,2026-03-30,10.90,13.10,2.20,7.0%,30.0%,17.0%,23.0%
TMT - SAAS,WIX,2026-03-30,70.00,112.01,2.42,14.0%,-215.0%,-245.0%,-184.0%
TMT - SAAS,PATH,2026-03-30,55.65,20.81,3.54,14.0%,69.0%,84.0%,102.0%
,,,,,,,,,
CN,BABA,2026-03-30,15.31,22.67,1.94,3.0%,-56.0%,-46.0%,-66.0%
CN,NIO,2026-03-30,NA,NA,0.95,78.0%,-104.0%,,-102.0%
,,,,,,,,,
Fin - bank,JPM,2026-03-30,NA,14.18,2.73,N/A,-1.0%,N/A,-7.0%
Fin - bank,BAC,2026-03-30,NA,12.35,1.73,N/A,35.0%,N/A,14.0%
Fin - bank,C,2026-03-30,NA,15.39,1.10,N/A,0.0%,N/A,-16.0%
Fin - bank,BK,2026-03-30,NA,15.54,1.95,N/A,25.0%,N/A,26.0%
Fin - bank,MS,2026-03-30,NA,15.52,2.10,N/A,17.0%,N/A,19.0%
Fin - bank,GS,2026-03-30,NA,15.74,1.90,N/A,11.0%,N/A,12.0%
,,,,,,,,,
Fin - credit,AXP,2026-03-30,9.06,19.34,2.54,10.0%,12.0%,N/A,14.0%
Fin - credit,COF,2026-03-30,NA,60.40,1.60,N/A,44.0%,N/A,101.0%
Fin - credit,SOFI,2026-03-30,17.50,39.87,4.05,32.0%,209.0%,N/A,-48.0%
Fin - credit,AFRM,2026-03-30,12.92,52.93,4.18,29.0%,61.0%,N/A,61.0%
Fin - credit,KLAR,2026-03-30,NA,NA,1.34,38.0%,-137.0%,-116.0%,-304.0%
Fin - credit,UPST,2026-03-30,47.65,56.33,2.28,35.0%,-826.0%,-50860.0%,-778.0%
Fin - credit,FICO,2026-03-30,27.75,38.80,12.05,16.0%,28.0%,30.0%,4.0%
,,,,,,,,,
Fin - payment,V,2026-03-30,19.67,28.38,13.79,15.0%,8.0%,14.0%,15.0%
Fin - payment,MA,2026-03-30,21.49,29.90,13.42,18.0%,25.0%,27.0%,21.0%
Fin - payment,FISV,2026-03-30,6.56,8.61,1.38,1.0%,-19.0%,-14.0%,-14.0%
Fin - payment,PYPL,2026-03-30,5.69,8.26,1.23,5.0%,15.0%,12.0%,28.0%
Fin - payment,XYZ,2026-03-30,10.07,27.09,1.41,4.0%,-27.0%,108.0%,-94.0%
